estudiante_id,materia,trimestre,calificacion,asistencia_porcentaje,participacion_clase
EST004,Inglés,1,7.6,89,Media
EST004,Educación Física,1,6.7,85,Media
EST004,Matemáticas,2,7.5,91,Alta
EST004,Lengua,2,6.1,76,Baja
EST004,Ciencias,2,6.3,81,Media
EST004,Historia,2,5.6,85,Media
EST004,Inglés,2,7.0,88,Media
EST004,Educación Física,2,8.1,92,Alta
EST004,Matemáticas,3,6.4,85,Media
EST004,Lengua,3,6.7,86,Media
EST004,Ciencias,3,7.0,100,Media
EST004,Historia,3,5.7,81,Media
EST004,Inglés,3,5.9,79,Alta
EST004,Educación Física,3,7.1,98,Media
EST005,Matemáticas,1,6.0,82,Media
EST005,Lengua,1,7.7,95,Media
EST005,Ciencias,1,7.9,100,Media
EST005,Historia,1,6.5,86,Alta
EST005,Inglés,1,4.9,77,Baja
EST005,Educación Física,1,8.1,86,Media
EST005,Matemáticas,2,5.8,75,Baja
EST005,Lengua,2,6.6,82,Alta
EST005,Ciencias,2,6.3,76,Media
EST005,Historia,2,7.5,100,Media
EST005,Inglés,2,5.2,75,Baja
EST005,Educación Física,2,6.7,84,Alta
EST005,Matemáticas,3,6.5,80,Alta
EST005,Lengua,3,4.8,64,Media
EST005,Ciencias,3,6.6,87,Alta
EST005,Historia,3,7.7,99,Media
EST005,Inglés,3,7.2,87,Media
EST005,Educación Física,3,9.0,86,Alta
EST006,Matemáticas,1,5.0,75,Baja
EST006,Lengua,1,5.0,73,Baja
EST006,Ciencias,1,7.5,86,Media
EST006,Historia,1,5.6,90,Media
EST006,Inglés,1,5.7,76,Media
EST006,Educación Física,1,6.2,75,Baja
EST006,Matemáticas,2,5.7,87,Baja
EST006,Lengua,2,4.0,78,Media
EST006,Ciencias,2,4.5,70,Media
EST006,Historia,2,6.8,77,Media
EST006,Inglés,2,6.8,77,Media
EST006,Educación Física,2,6.9,87,Baja
EST006,Matemáticas,3,4.2,74,Baja
EST006,Lengua,3,4.3,72,Baja
EST006,Ciencias,3,5.5,84,Baja
EST006,Historia,3,5.4,77,Media
EST006,Inglés,3,5.5,87,Media
EST006,Educación Física,3,5.2,75,Baja
EST007,Matemáticas,1,5.6,77,Media
EST007,Lengua,1,5.3,88,Media
EST007,Ciencias,1,4.3,70,Baja
EST007,Historia,1,4.9,73,Media
EST007,Inglés,1,6.7,82,Media
EST007,Educación Física,1,4.9,72,Media
EST007,Matemáticas,2,5.2,80,Baja
EST007,Lengua,2,6.1,90,Media
EST007,Ciencias,2,6.8,90,Media
EST007,Historia,2,5.0,63,Media
EST007,Inglés,2,4.0,72,Baja
EST007,Educación Física,2,7.1,95,Media
EST007,Matemáticas,3,5.7,84,Media
EST007,Lengua,3,5.3,81,Baja
EST007,Ciencias,3,4.8,80,Baja
EST007,Historia,3,6.2,82,Media
EST007,Inglés,3,5.7,81,Baja
EST007,Educación Física,3,5.8,75,Baja
EST008,Matemáticas,1,5.2,84,Baja
EST008,Lengua,1,4.2,73,Baja
EST008,Ciencias,1,4.9,64,Baja
EST008,Historia,1,6.4,77,Media
EST008,Inglés,1,4.7,73,Baja
EST008,Educación Física,1,6.2,86,Media
EST008,Matemáticas,2,4.7,63,Baja
EST008,Lengua,2,4.7,71,Media
EST008,Ciencias,2,4.6,80,Media
EST008,Historia,2,5.3,88,Media
EST008,Inglés,2,5.3,82,Baja
EST008,Educación Física,2,7.4,89,Media
EST008,Matemáticas,3,5.2,77,Media
EST008,Lengua,3,6.4,79,Media
EST008,Ciencias,3,5.6,86,Baja
EST008,Historia,3,4.5,74,Media
EST008,Inglés,3,5.4,85,Baja
EST008,Educación Física,3,6.1,80,Baja
EST009,Matemáticas,1,7.0,85,Media
EST009,Lengua,1,7.9,92,Media
EST009,Ciencias,1,8.1,97,Alta
EST009,Historia,1,8.7,91,Alta
EST009,Inglés,1,8.0,93,Media
EST009,Educación Física,1,8.7,87,Alta
EST009,Matemáticas,2,7.4,91,Media
EST009,Lengua,2,7.1,100,Media
EST009,Ciencias,2,6.7,78,Media
EST009,Historia,2,7.2,90,Baja
EST009,Inglés,2,7.4,87,Media
EST009,Educación Física,2,9.0,92,Alta
EST009,Matemáticas,3,6.5,88,Media
EST009,Lengua,3,6.7,88,Alta
EST009,Ciencias,3,7.2,90,Media
EST009,Historia,3,6.4,79,Alta
EST009,Inglés,3,6.7,75,Media
EST009,Educación Física,3,6.7,87,Baja
EST010,Matemáticas,1,4.5,73,Baja
EST010,Lengua,1,5.7,80,Alta
EST010,Ciencias,1,5.3,83,Media
EST010,Historia,1,4.8,74,Baja
EST010,Inglés,1,5.0,78,Media
EST010,Educación Física,1,6.5,86,Media
EST010,Matemáticas,2,6.3,81,Baja
EST010,Lengua,2,4.4,80,Baja
EST010,Ciencias,2,6.4,86,Baja
EST010,Historia,2,5.3,78,Baja
EST010,Inglés,2,5.8,86,Baja
EST010,Educación Física,2,5.6,88,Media
EST010,Matemáticas,3,5.1,76,Baja
EST010,Lengua,3,6.3,80,Media
EST010,Ciencias,3,5.7,78,Media
EST010,Historia,3,6.6,88,Baja
EST010,Inglés,3,6.5,79,Media
EST010,Educación Física,3,6.5,82,Media
EST011,Matemáticas,1,7.0,93,Media
EST011,Lengua,1,7.6,87,Media
EST011,Ciencias,1,8.9,93,Alta
EST011,Historia,1,8.6,99,Baja
EST011,Inglés,1,8.9,87,Media
EST011,Educación Física,1,8.4,96,Media
EST011,Matemáticas,2,6.6,81,Media
EST011,Lengua,2,8.8,94,Alta
EST011,Ciencias,2,6.9,85,Baja
EST011,Historia,2,7.6,86,Alta
EST011,Inglés,2,7.6,90,Media
EST011,Educación Física,2,7.8,98,Media
EST011,Matemáticas,3,8.9,90,Media
EST011,Lengua,3,8.9,87,Alta
EST011,Ciencias,3,6.3,80,Alta
EST011,Historia,3,9.1,92,Alta
EST011,Inglés,3,7.7,87,Alta
EST011,Educación Física,3,8.4,99,Alta
EST012,Matemáticas,1,7.1,98,Media
EST012,Lengua,1,3.5,67,Media
EST012,Ciencias,1,6.5,84,Alta
EST012,Historia,1,6.4,79,Media
EST012,Inglés,1,6.8,80,Media
EST012,Educación Física,1,7.2,89,Baja
EST012,Matemáticas,2,5.4,78,Media
EST012,Lengua,2,5.5,87,Media
EST012,Ciencias,2,5.8,77,Media
EST012,Historia,2,5.2,84,Baja
EST012,Inglés,2,6.6,84,Media
EST012,Educación Física,2,5.7,81,Baja
EST012,Matemáticas,3,6.9,82,Media
EST012,Lengua,3,5.9,90,Baja
EST012,Ciencias,3,5.4,86,Baja
EST012,Historia,3,5.3,88,Media
EST012,Inglés,3,6.0,77,Alta
EST012,Educación Física,3,3.8,68,Media
EST013,Matemáticas,1,7.1,94,Media
EST013,Lengua,1,5.2,88,Baja
EST013,Ciencias,1,4.8,64,Media
EST013,Historia,1,4.5,76,Baja
EST013,Inglés,1,6.4,77,Media
EST013,Educación Física,1,6.7,82,Alta
EST013,Matemáticas,2,3.9,79,Alta
EST013,Lengua,2,6.0,80,Alta
EST013,Ciencias,2,5.6,86,Baja
EST013,Historia,2,5.3,83,Media
EST013,Inglés,2,5.2,78,Baja
EST013,Educación Física,2,4.9,73,Media
EST013,Matemáticas,3,4.4,62,Baja
EST013,Lengua,3,4.5,61,Baja
EST013,Ciencias,3,5.2,78,Baja
EST013,Historia,3,6.1,78,Media
EST013,Inglés,3,7.0,92,Alta
EST013,Educación Física,3,6.5,79,Alta
EST014,Matemáticas,1,7.8,98,Media
EST014,Lengua,1,5.6,85,Media
EST014,Ciencias,1,4.4,61,Media
EST014,Historia,1,6.5,76,Baja
EST014,Inglés,1,4.4,69,Media
EST014,Educación Física,1,6.5,75,Media
EST014,Matemáticas,2,5.4,82,Baja
EST014,Lengua,2,4.3,75,Baja
EST014,Ciencias,2,5.7,82,Media
EST014,Historia,2,4.9,60,Media
EST014,Inglés,2,6.2,85,Alta
EST014,Educación Física,2,5.1,84,Media
EST014,Matemáticas,3,5.6,76,Baja
EST014,Lengua,3,6.1,83,Alta
EST014,Ciencias,3,6.7,86,Media
EST014,Historia,3,5.2,78,Baja
EST014,Inglés,3,4.8,61,Baja
EST014,Educación Física,3,7.6,92,Media
EST015,Matemáticas,1,7.9,95,Media
EST015,Lengua,1,5.9,77,Baja
EST015,Ciencias,1,6.2,78,Alta
EST015,Historia,1,6.1,88,Alta
EST015,Inglés,1,6.5,89,Media
EST015,Educación Física,1,5.8,80,Baja
EST015,Matemáticas,2,5.8,81,Baja
EST015,Lengua,2,5.3,77,Baja
EST015,Ciencias,2,6.8,84,Media
EST015,Historia,2,7.1,85,Baja
EST015,Inglés,2,5.9,78,Baja
EST015,Educación Física,2,7.4,89,Alta
EST015,Matemáticas,3,5.7,81,Baja
EST015,Lengua,3,5.8,77,Baja
EST015,Ciencias,3,6.3,77,Alta
EST015,Historia,3,6.5,79,Alta
EST015,Inglés,3,7.0,89,Alta
EST015,Educación Física,3,7.5,98,Baja
EST016,Matemáticas,1,8.5,90,Alta
EST016,Lengua,1,8.1,93,Alta
EST016,Ciencias,1,9.0,92,Alta
EST016,Historia,1,7.7,100,Alta
EST016,Inglés,1,7.6,92,Media
EST016,Educación Física,1,9.1,85,Baja
EST016,Matemáticas,2,7.4,100,Media
EST016,Lengua,2,8.3,95,Alta
EST016,Ciencias,2,6.9,83,Alta
EST016,Historia,2,8.5,96,Media
EST016,Inglés,2,8.4,92,Alta
EST016,Educación Física,2,8.7,86,Media
EST016,Matemáticas,3,6.4,87,Media
EST016,Lengua,3,6.8,80,Alta
EST016,Ciencias,3,8.0,85,Media
EST016,Historia,3,6.2,79,Media
EST016,Inglés,3,8.8,100,Alta
EST016,Educación Física,3,7.6,86,Alta
EST017,Matemáticas,1,5.2,75,Media
EST017,Lengua,1,6.6,79,Media
EST017,Ciencias,1,5.7,76,Alta
EST017,Historia,1,4.1,64,Baja
EST017,Inglés,1,7.1,96,Media
EST017,Educación Física,1,4.9,78,Media
EST017,Matemáticas,2,5.4,88,Baja
EST017,Lengua,2,6.3,85,Alta
EST017,Ciencias,2,5.3,86,Media
EST017,Historia,2,3.9,65,Media
EST017,Inglés,2,5.6,75,Baja
EST017,Educación Física,2,7.4,97,Baja
EST017,Matemáticas,3,5.6,85,Baja
EST017,Lengua,3,5.8,82,Baja
EST017,Ciencias,3,4.4,62,Media
EST017,Historia,3,6.0,80,Baja
EST017,Inglés,3,6.5,85,Media
EST017,Educación Física,3,4.8,67,Baja
EST018,Matemáticas,1,7.5,86,Media
EST018,Lengua,1,6.5,80,Baja
EST018,Ciencias,1,6.8,78,Baja
EST018,Historia,1,8.5,92,Alta
EST018,Inglés,1,7.5,95,Media
EST018,Educación Física,1,7.1,95,Alta
EST018,Matemáticas,2,7.1,87,Media
EST018,Lengua,2,7.0,90,Media
EST018,Ciencias,2,6.8,88,Alta
EST018,Historia,2,6.2,81,Baja
EST018,Inglés,2,5.7,83,Baja
EST018,Educación Física,2,7.3,88,Alta
EST018,Matemáticas,3,7.9,96,Alta
EST018,Lengua,3,6.7,90,Alta
EST018,Ciencias,3,7.3,87,Media
EST018,Historia,3,7.7,97,Media
EST018,Inglés,3,7.8,97,Alta
EST018,Educación Física,3,10.0,96,Alta
EST019,Matemáticas,1,4.2,68,Baja
EST019,Lengua,1,5.6,78,Alta
EST019,Ciencias,1,3.5,78,Media
EST019,Historia,1,4.7,72,Baja
EST019,Inglés,1,4.1,75,Baja
EST019,Educación Física,1,5.7,84,Alta
EST019,Matemáticas,2,6.3,79,Alta
EST019,Lengua,2,5.0,80,Baja
EST019,Ciencias,2,5.5,76,Baja
EST019,Historia,2,6.7,88,Media
EST019,Inglés,2,6.7,85,Baja
EST019,Educación Física,2,7.9,87,Alta
EST019,Matemáticas,3,4.3,76,Baja
EST019,Lengua,3,5.6,88,Media
EST019,Ciencias,3,4.4,63,Baja
EST019,Historia,3,5.3,78,Baja
EST019,Inglés,3,7.3,93,Media
EST019,Educación Física,3,5.3,90,Alta
EST020,Matemáticas,1,7.7,97,Alta
EST020,Lengua,1,8.8,95,Alta
EST020,Ciencias,1,6.4,86,Alta
EST020,Historia,1,7.9,94,Media
EST020,Inglés,1,8.6,92,Alta
EST020,Educación Física,1,8.0,99,Media
EST020,Matemáticas,2,7.0,77,Alta
EST020,Lengua,2,6.1,88,Media
EST020,Ciencias,2,8.8,90,Alta
EST020,Historia,2,6.6,87,Alta
EST020,Inglés,2,8.0,91,Baja
EST020,Educación Física,2,7.7,86,Media
EST020,Matemáticas,3,8.5,93,Alta
EST020,Lengua,3,6.8,87,Media
EST020,Ciencias,3,7.9,99,Alta
EST020,Historia,3,8.0,96,Alta
EST020,Inglés,3,7.8,87,Media
EST020,Educación Física,3,9.6,90,Media
EST021,Matemáticas,1,8.7,92,Alta
EST021,Lengua,1,8.3,98,Alta
EST021,Ciencias,1,9.6,100,Baja
EST021,Historia,1,7.9,85,Media
EST021,Inglés,1,9.3,93,Alta
EST021,Educación Física,1,8.1,96,Alta
EST021,Matemáticas,2,7.1,97,Media
EST021,Lengua,2,8.4,96,Alta
EST021,Ciencias,2,7.8,100,Alta
EST021,Historia,2,9.7,95,Media
EST021,Inglés,2,7.4,94,Alta
EST021,Educación Física,2,7.1,92,Baja
EST021,Matemáticas,3,9.0,95,Alta
EST021,Lengua,3,7.2,100,Baja
EST021,Ciencias,3,7.1,86,Media
EST021,Historia,3,8.9,91,Alta
EST021,Inglés,3,7.8,100,Baja
EST021,Educación Física,3,8.0,94,Baja
EST022,Matemáticas,1,8.7,88,Alta
EST022,Lengua,1,7.6,90,Baja
EST022,Ciencias,1,7.8,92,Media
EST022,Historia,1,7.0,95,Media
EST022,Inglés,1,7.4,86,Baja
EST022,Educación Física,1,8.7,87,Alta
EST022,Matemáticas,2,8.0,94,Media
EST022,Lengua,2,8.9,89,Alta
EST022,Ciencias,2,6.5,89,Alta
EST022,Historia,2,8.6,90,Media
EST022,Inglés,2,7.3,86,Alta
EST022,Educación Física,2,7.7,90,Media
EST022,Matemáticas,3,7.3,89,Media
EST022,Lengua,3,6.5,87,Media
EST022,Ciencias,3,8.7,96,Baja
EST022,Historia,3,8.1,91,Alta
EST022,Inglés,3,7.1,96,Media
EST022,Educación Física,3,7.3,94,Alta
EST023,Matemáticas,1,5.9,85,Baja
EST023,Lengua,1,6.3,79,Media
EST023,Ciencias,1,5.6,87,Alta
EST023,Historia,1,5.6,79,Media
EST023,Inglés,1,4.6,80,Baja
EST023,Educación Física,1,6.1,83,Media
EST023,Matemáticas,2,5.5,78,Baja
EST023,Lengua,2,4.9,63,Baja
EST023,Ciencias,2,4.5,64,Media
EST023,Historia,2,5.4,75,Media
EST023,Inglés,2,5.3,79,Baja
EST023,Educación Física,2,6.3,78,Media
EST023,Matemáticas,3,5.0,68,Baja
EST023,Lengua,3,6.0,86,Baja
EST023,Ciencias,3,6.2,81,Media
EST023,Historia,3,5.7,82,Alta
EST023,Inglés,3,6.9,90,Alta
EST023,Educación Física,3,4.8,76,Alta
EST024,Matemáticas,1,9.1,99,Baja
EST024,Lengua,1,6.8,89,Alta
EST024,Ciencias,1,9.1,96,Media
EST024,Historia,1,6.4,78,Alta
EST024,Inglés,1,9.5,90,Alta
EST024,Educación Física,1,9.5,93,Media
EST024,Matemáticas,2,7.1,97,Media
EST024,Lengua,2,7.2,97,Media
EST024,Ciencias,2,6.2,80,Alta
EST024,Historia,2,8.7,86,Baja
EST024,Inglés,2,9.4,100,Media
EST024,Educación Física,2,9.8,90,Alta
EST024,Matemáticas,3,7.0,89,Media
EST024,Lengua,3,6.7,88,Media
EST024,Ciencias,3,7.2,92,Baja
EST024,Historia,3,7.8,95,Media
EST024,Inglés,3,7.3,92,Media
EST024,Educación Física,3,8.1,97,Alta
EST025,Matemáticas,1,9.0,85,Alta
EST025,Lengua,1,6.5,90,Baja
EST025,Ciencias,1,8.7,92,Alta
EST025,Historia,1,7.7,92,Media
EST025,Inglés,1,7.5,99,Baja
EST025,Educación Física,1,7.9,100,Media
EST025,Matemáticas,2,5.6,78,Baja
EST025,Lengua,2,7.1,85,Baja
EST025,Ciencias,2,8.9,91,Alta
EST025,Historia,2,7.2,95,Media
EST025,Inglés,2,7.2,100,Media
EST025,Educación Física,2,8.9,99,Alta
EST025,Matemáticas,3,8.1,94,Alta
EST025,Lengua,3,8.1,88,Alta
EST025,Ciencias,3,8.0,98,Alta
EST025,Historia,3,8.6,91,Alta
EST025,Inglés,3,8.2,91,Media
EST025,Educación Física,3,9.1,98,Alta
EST026,Matemáticas,1,6.8,89,Media
EST026,Lengua,1,6.4,79,Baja
EST026,Ciencias,1,6.1,88,Baja
EST026,Historia,1,5.7,80,Baja
EST026,Inglés,1,6.5,85,Media
EST026,Educación Física,1,6.9,82,Media
EST026,Matemáticas,2,8.5,89,Alta
EST026,Lengua,2,6.6,84,Baja
EST026,Ciencias,2,6.2,81,Media
EST026,Historia,2,8.0,94,Alta
EST026,Inglés,2,8.0,90,Media
EST026,Educación Física,2,8.7,95,Media
EST026,Matemáticas,3,6.2,88,Media
EST026,Lengua,3,6.7,84,Baja
EST026,Ciencias,3,7.0,97,Alta
EST026,Historia,3,6.9,81,Media
EST026,Inglés,3,8.2,89,Media
EST026,Educación Física,3,7.6,94,Media
EST027,Matemáticas,1,6.0,82,Media
EST027,Lengua,1,7.2,92,Media
EST027,Ciencias,1,6.4,76,Baja
EST027,Historia,1,5.2,85,Baja
EST027,Inglés,1,6.0,89,Baja
EST027,Educación Física,1,7.3,96,Media
EST027,Matemáticas,2,5.5,81,Media
EST027,Lengua,2,5.3,77,Media
EST027,Ciencias,2,5.4,88,Media
EST027,Historia,2,6.2,80,Media
EST027,Inglés,2,5.6,79,Alta
EST027,Educación Física,2,9.0,86,Media
EST027,Matemáticas,3,7.1,96,Alta
EST027,Lengua,3,6.1,82,Baja
EST027,Ciencias,3,6.6,87,Alta
EST027,Historia,3,5.8,81,Baja
EST027,Inglés,3,5.8,90,Baja
EST027,Educación Física,3,9.6,85,Alta
EST028,Matemáticas,1,5.3,82,Baja
EST028,Lengua,1,6.8,85,Media
EST028,Ciencias,1,6.3,84,Alta
EST028,Historia,1,5.9,86,Baja
EST028,Inglés,1,4.8,80,Media
EST028,Educación Física,1,6.3,78,Alta
EST028,Matemáticas,2,6.3,77,Media
EST028,Lengua,2,5.6,81,Baja
EST028,Ciencias,2,6.2,88,Media
EST028,Historia,2,6.5,79,Alta
EST028,Inglés,2,6.0,80,Media
EST028,Educación Física,2,6.4,82,Baja
EST028,Matemáticas,3,4.5,70,Alta
EST028,Lengua,3,5.9,75,Baja
EST028,Ciencias,3,5.7,77,Media
EST028,Historia,3,4.4,69,Baja
EST028,Inglés,3,6.5,89,Media
EST028,Educación Física,3,7.4,85,Media
EST029,Matemáticas,1,8.1,94,Baja
EST029,Lengua,1,7.7,96,Baja
EST029,Ciencias,1,7.3,86,Alta
EST029,Historia,1,7.3,87,Media
EST029,Inglés,1,8.4,98,Baja
EST029,Educación Física,1,8.4,89,Alta
EST029,Matemáticas,2,7.2,90,Media
EST029,Lengua,2,7.1,86,Baja
EST029,Ciencias,2,8.8,87,Alta
EST029,Historia,2,7.0,88,Alta
EST029,Inglés,2,8.3,92,Alta
EST029,Educación Física,2,8.2,91,Alta
EST029,Matemáticas,3,6.9,79,Media
EST029,Lengua,3,6.9,85,Baja
EST029,Ciencias,3,6.6,88,Media
EST029,Historia,3,8.7,95,Media
EST029,Inglés,3,7.0,88,Alta
EST029,Educación Física,3,8.9,93,Media
EST030,Matemáticas,1,6.2,77,Media
EST030,Lengua,1,7.7,85,Baja
EST030,Ciencias,1,7.6,86,Media
EST030,Historia,1,7.0,90,Media
EST030,Inglés,1,5.8,84,Media
EST030,Educación Física,1,9.3,87,Alta
EST030,Matemáticas,2,6.7,80,Media
EST030,Lengua,2,5.8,80,Media
EST030,Ciencias,2,6.8,90,Baja
EST030,Historia,2,5.3,90,Media
EST030,Inglés,2,7.4,96,Media
EST030,Educación Física,2,10.0,86,Alta
EST030,Matemáticas,3,9.5,93,Media
EST030,Lengua,3,8.5,90,Alta
EST030,Ciencias,3,5.9,77,Baja
EST030,Historia,3,6.5,82,Media
EST030,Inglés,3,8.0,100,Baja
EST030,Educación Física,3,6.8,79,Media
EST031,Matemáticas,1,6.5,79,Alta
EST031,Lengua,1,7.5,88,Media
EST031,Ciencias,1,7.4,100,Media
EST031,Historia,1,8.1,98,Alta
EST031,Inglés,1,6.8,76,Baja
EST031,Educación Física,1,7.7,90,Media
EST031,Matemáticas,2,8.1,85,Media
EST031,Lengua,2,7.6,94,Baja
EST031,Ciencias,2,6.7,90,Alta
EST031,Historia,2,7.5,89,Media
EST031,Inglés,2,8.5,93,Alta
EST031,Educación Física,2,9.8,99,Alta
EST031,Matemáticas,3,6.5,75,Media
EST031,Lengua,3,8.4,98,Media
EST031,Ciencias,3,8.6,86,Media
EST031,Historia,3,9.3,88,Alta
EST031,Inglés,3,8.7,85,Media
EST031,Educación Física,3,8.3,98,Alta
EST032,Matemáticas,1,8.2,92,Baja
EST032,Lengua,1,7.7,97,Media
EST032,Ciencias,1,9.1,88,Alta
EST032,Historia,1,6.4,82,Baja
EST032,Inglés,1,6.3,83,Alta
EST032,Educación Física,1,8.0,85,Media
EST032,Matemáticas,2,7.9,95,Media
EST032,Lengua,2,7.2,98,Media
EST032,Ciencias,2,7.8,96,Media
EST032,Historia,2,7.3,97,Media
EST032,Inglés,2,7.6,96,Media
EST032,Educación Física,2,7.3,94,Media
EST032,Matemáticas,3,7.7,88,Media
EST032,Lengua,3,7.7,90,Alta
EST032,Ciencias,3,7.8,86,Alta
EST032,Historia,3,6.6,75,Baja
EST032,Inglés,3,6.8,77,Alta
EST032,Educación Física,3,8.0,87,Alta
EST033,Matemáticas,1,6.7,84,Media
EST033,Lengua,1,5.3,80,Baja
EST033,Ciencias,1,5.8,84,Media
EST033,Historia,1,6.9,82,Media
EST033,Inglés,1,4.9,65,Alta
EST033,Educación Física,1,6.8,87,Media
EST033,Matemáticas,2,4.5,62,Baja
EST033,Lengua,2,5.1,86,Media
EST033,Ciencias,2,6.1,89,Baja
EST033,Historia,2,7.6,93,Alta
EST033,Inglés,2,4.6,70,Baja
EST033,Educación Física,2,6.4,83,Baja
EST033,Matemáticas,3,5.0,87,Baja
EST033,Lengua,3,5.2,85,Baja
EST033,Ciencias,3,4.4,60,Baja
EST033,Historia,3,5.5,87,Baja
EST033,Inglés,3,5.7,85,Baja
EST033,Educación Física,3,5.5,75,Baja
EST034,Matemáticas,1,6.8,85,Alta
EST034,Lengua,1,8.7,100,Alta
EST034,Ciencias,1,6.8,81,Media
EST034,Historia,1,7.0,82,Baja
EST034,Inglés,1,7.4,96,Alta
EST034,Educación Física,1,8.2,87,Alta
EST034,Matemáticas,2,6.8,76,Baja
EST034,Lengua,2,6.5,85,Media
EST034,Ciencias,2,9.3,100,Alta
EST034,Historia,2,6.8,83,Media
EST034,Inglés,2,8.4,98,Alta
EST034,Educación Física,2,9.0,96,Alta
EST034,Matemáticas,3,8.9,99,Alta
EST034,Lengua,3,9.0,91,Alta
EST034,Ciencias,3,6.1,80,Media
EST034,Historia,3,8.5,100,Baja
EST034,Inglés,3,7.7,98,Media
EST034,Educación Física,3,8.8,97,Alta
EST035,Matemáticas,1,5.8,82,Baja
EST035,Lengua,1,6.7,82,Media
EST035,Ciencias,1,6.5,79,Media
EST035,Historia,1,6.6,88,Media
EST035,Inglés,1,6.8,85,Media
EST035,Educación Física,1,5.4,76,Media
EST035,Matemáticas,2,7.4,100,Baja
EST035,Lengua,2,5.8,85,Media
EST035,Ciencias,2,4.2,71,Alta
EST035,Historia,2,4.8,79,Media
EST035,Inglés,2,5.5,84,Media
EST035,Educación Física,2,6.3,90,Media
EST035,Matemáticas,3,6.6,89,Media
EST035,Lengua,3,5.9,80,Baja
EST035,Ciencias,3,5.2,87,Baja
EST035,Historia,3,5.8,80,Media
EST035,Inglés,3,4.8,79,Baja
EST035,Educación Física,3,5.1,89,Baja
EST036,Matemáticas,1,6.6,89,Media
EST036,Lengua,1,4.4,60,Media
EST036,Ciencias,1,5.4,77,Media
EST036,Historia,1,6.9,78,Alta
EST036,Inglés,1,5.9,87,Baja
EST036,Educación Física,1,7.1,88,Media
EST036,Matemáticas,2,4.1,69,Media
EST036,Lengua,2,4.6,74,Baja
EST036,Ciencias,2,5.4,86,Baja
EST036,Historia,2,5.4,90,Baja
EST036,Inglés,2,7.0,79,Baja
EST036,Educación Física,2,6.3,80,Media
EST036,Matemáticas,3,5.6,88,Baja
EST036,Lengua,3,4.2,69,Baja
EST036,Ciencias,3,5.7,84,Media
EST036,Historia,3,5.8,84,Alta
EST036,Inglés,3,5.7,84,Baja
EST036,Educación Física,3,5.3,90,Baja
EST037,Matemáticas,1,8.3,94,Alta
EST037,Lengua,1,7.8,96,Alta
EST037,Ciencias,1,7.3,97,Baja
EST037,Historia,1,7.5,87,Media
EST037,Inglés,1,7.4,93,Media
EST037,Educación Física,1,6.9,83,Media
EST037,Matemáticas,2,8.5,99,Alta
EST037,Lengua,2,7.9,100,Alta
EST037,Ciencias,2,8.0,90,Baja
EST037,Historia,2,7.6,89,Media
EST037,Inglés,2,7.8,100,Media
EST037,Educación Física,2,8.6,100,Baja
