nombre_instalacion,direccion,ciudad,codigo_postal,telefono,horario_apertura,horario_cierre,capacidad_maxima,tipo_instalacion,fecha_inauguracion
HIGHLAND CLARKSBURG HOSPITAL INC.,930 Canary Center,Dean,OX7,702-306-9426,11:20 PM,10:17 PM,7005,gimnasio,11/29/1997
MERCY MEDICAL CENTER,76073 Cody Center,Dębów,37-230,456-437-3478,4:04 PM,9:21 AM,4758,piscina,11/26/1929
WASHINGTON ADVENTIST HOSPITAL,67 Tomscot Junction,Qingyang,,185-132-7118,1:30 AM,4:57 PM,9758,piscina,12/21/1947
COFFEY COUNTY MEDICAL CENTER,362 Grayhawk Plaza,Kharovsk,162250,528-623-4163,5:18 AM,11:21 PM,2259,gimnasio,1/14/1917
"OHIOHEALTH MORROW COUNTY HOSPITAL, INC.",6750 Mesta Place,Daytona Beach,32128,386-581-3524,1:55 AM,3:23 AM,3939,campo deportivo,9/13/1980
CALVARY HOSPITAL INC.,6 Stuart Street,Xijiao,,737-434-0036,12:03 AM,6:12 PM,3692,piscina,6/26/1955
PELHAM MEDICAL CENTER,7 David Point,Samoš,,255-880-2128,3:13 PM,9:30 PM,3533,campo deportivo,12/24/1935
PUBLIC HOSPITAL DISTRICT NO 2,3 Blackbird Street,Yanglang,,402-311-0462,11:24 PM,6:48 PM,8294,campo deportivo,6/28/1942
SONORA COMMUNITY HOSPITAL,6995 Ludington Circle,Tarnogskiy Gorodok,161560,700-929-0767,10:34 AM,2:09 PM,5676,campo deportivo,6/28/1941
YALE NEW HAVEN HOSPITAL,8 Warner Parkway,Opatovice nad Labem,533 45,802-534-5812,2:44 AM,2:46 AM,7465,piscina,1/10/1988
"BELMONT BEHAVIORAL HOSPITAL, LLC",2 Mayer Street,Reiko,,356-847-7057,12:43 PM,12:50 PM,5552,piscina,12/26/1918
"SPOTSYLVANIA MEDICAL CENTER, INC.",141 Carey Avenue,Sekarjalak,,717-461-9414,5:01 AM,10:27 PM,7133,piscina,4/30/2008
DEPARTMENT OF HEALTH & HOSPITAL,,Gävle,806 36,584-246-4418,2:26 PM,2:59 AM,8509,gimnasio,3/30/2009
AUDIE MURPHY VETERANS HOSPITAL,7 Dexter Trail,Kopparberg,714 31,579-635-6550,10:43 PM,7:08 AM,2158,campo deportivo,
"WELLSTAR SYLVAN GROVE HOSPITAL, INC",60506 Miller Circle,Mingoyo,,324-665-3178,7:41 PM,3:57 AM,,piscina,10/1/2019
JOHNSON MEMORIAL HOSPITAL,63 Westridge Street,Luqiao,,518-141-4504,7:55 PM,6:13 AM,2511,campo deportivo,4/14/1904
COMPREHENSIVE HOSPITALIST SERVICES OF WEST VIRGINIA LLC,0 Brown Lane,Zhongpai,,373-703-1158,1:13 AM,4:26 AM,6522,gimnasio,1/15/1913
OB HOSPITALIST GROUP LLC,71 Mayer Street,Pesochnoye,662360,592-601-4813,1:47 AM,2:21 PM,9407,campo deportivo,10/7/1963
ASPIRUS WAUSAU HOSPITAL INC,091 Toban Way,San Jose,8427,104-944-7641,1:34 AM,11:18 PM,5543,piscina,10/10/2002
THE BROOKLYN HOSPITAL CENTER,09474 Heath Avenue,Bourges,18934 CEDEX 9,324-954-0901,6:02 PM,8:58 PM,1895,campo deportivo,6/8/1943
SABINE MEDICAL CENTER,394 Gulseth Road,Gornorechenskiy,692425,881-629-8363,12:14 AM,6:11 AM,8480,gimnasio,6/23/2012
CHOUTEAU COUNTY DISTRICT HOSPITAL,24204 Pankratz Alley,Dijon,21051 CEDEX,596-572-2671,5:40 AM,1:39 PM,654,campo deportivo,2/15/1971
ST FRANCIS MEDICAL CENTER,7321 Havey Place,Digos,8006,657-543-2321,2:58 PM,6:18 AM,6852,gimnasio,10/15/1972
ST VINCENT HOSPITAL,9 Hollow Ridge Terrace,Mandi Bahāuddīn,50470,584-215-5012,1:39 PM,10:16 AM,675,gimnasio,11/21/1957
"SAN JUAN CAPESTRANO HOSPITAL, INC.",32101 Katie Lane,Hroznětín,584 01,486-284-2572,10:00 PM,1:10 PM,1622,campo deportivo,6/22/1984
ST. ANDREW'S HOSPITAL,30826 Raven Center,Dobrljin,,665-544-9155,2:14 PM,4:06 PM,5738,campo deportivo,10/14/2000
HANCOCK REGIONAL HOSPITAL,6702 Algoma Court,Oeiras,2780-005,795-751-7459,5:42 AM,11:04 AM,2662,piscina,10/9/1930
THE BROOKDALE HOSPITAL MEDICAL CENTER,63743 Pine View Drive,Altan Emel,,813-181-1827,1:57 AM,10:36 PM,2942,gimnasio,9/29/1974
STILLWATER MEDICAL CENTER AUTHORITY,691 Village Pass,Shipaidong,,711-658-2802,7:31 PM,8:13 AM,6507,gimnasio,10/31/1943
SGL MEDICAL CENTER CORP.,8394 Del Mar Plaza,Sukumo,788-0363,797-994-3863,6:33 AM,10:16 AM,1686,campo deportivo,1/28/1996
"REJUVINEX MEDICAL CENTER, LLC",24448 Coleman Point,Mandeni,4492,532-162-7313,3:48 PM,11:34 PM,2595,gimnasio,7/30/1904
LAS-USC MEDICAL CENTER,47 Corry Junction,Shifo,,750-687-2165,2:21 PM,6:40 PM,7432,piscina,6/19/2006
JACKSON MEMORIAL HOSPITAL,5971 Oak Valley Pass,Bagansiapiapi,,821-594-2328,7:02 AM,3:15 PM,6277,piscina,
WILLIAM BEAUMONT HOSPITAL,59 Division Junction,Presidente Venceslau,19400-000,714-252-7433,10:08 PM,5:04 AM,5637,piscina,7/5/2016
ABINGTON MEMORIAL HOSPITAL,3677 Main Court,Matão,15990-000,740-905-0953,11:33 AM,10:04 AM,768,gimnasio,4/7/2002
"COMMUNITY UNITED METHODIST HOSPITAL, INC.",03 Petterle Point,Pojok,,378-797-1435,7:23 PM,10:49 PM,1319,piscina,11/28/1952
BWH HOSPITAL,7 Onsgard Terrace,Mercedes,6808,403-600-4412,1:58 AM,8:51 AM,3729,piscina,1/30/1906
ARROWHEAD REGIONAL MEDICAL CENTER,3 Quincy Way,Kalýves Polygýrou,,576-338-6994,8:18 PM,8:57 AM,1450,campo deportivo,8/18/1970
COLEMAN COUNTY MEDICAL CENTER,53999 Blackbird Way,Xinan,,255-466-4227,7:32 PM,3:57 AM,2522,campo deportivo,9/4/1934
FANNIN REGIONAL HOSPITAL INC,,Zhouling,,720-316-8087,3:19 PM,6:27 AM,393,piscina,3/15/1934
DOUGLAS COUNTY HOSPITAL DISTRICT 2,48 Sutherland Road,Taozhou,,921-874-1590,10:33 PM,9:30 AM,7650,gimnasio,9/30/2016
NATIONWIDE CHILDREN'S HOSPITAL,470 Warbler Park,Ruangwa,,259-496-6652,6:23 AM,8:56 AM,8696,gimnasio,11/17/1956
FRANKLIN SQUARE HOSPITAL CENTER INC,7 Hayes Circle,Longjumeau,91169 CEDEX,947-640-2746,3:27 PM,4:51 PM,7853,piscina,12/28/1966
HARDTNER MEDICAL CENTER,52025 Evergreen Road,Mossendjo,,900-698-3768,4:29 AM,2:34 AM,6204,piscina,5/26/1996
"ASPIRUS WAUSAU HOSPITAL, INC",72 Beilfuss Lane,Oranzherei,416368,176-841-1236,7:42 PM,2:07 PM,3750,gimnasio,12/2/1916
TUFTS MEDICAL CENTER,0105 Declaration Way,Resplendor,35230-000,891-111-3469,7:59 AM,12:33 PM,4313,campo deportivo,4/19/1952
CROZER-CHESTER MEDICAL CENTER,27392 Butternut Circle,Milwaukee,53277,360-998-9836,6:39 PM,5:38 AM,6738,campo deportivo,8/1/1926
WESTERN MISSOURI MEDICAL CENTER,3453 Wayridge Road,Chhātak,4312,591-372-3051,12:19 PM,10:16 PM,98,piscina,6/11/1949
MCDOWELL HOSPITAL,25287 6th Road,Blois,41015 CEDEX,205-923-5207,4:04 PM,7:42 PM,8920,campo deportivo,11/12/1940
BEXAR COUNTY HOSPITAL DISTRICT,50902 Weeping Birch Alley,Edissiya,357870,624-378-0718,4:10 PM,8:44 PM,9357,campo deportivo,3/23/1981
FRANKLIN COUNTY MEMORIAL HOSPITAL,65683 Almo Street,Boulaide,L-9640,738-603-5388,2:22 AM,5:18 PM,1254,campo deportivo,9/14/2021
SONORA COMMUNITY HOSPITAL,01 Shasta Way,Barishāl,81300,990-283-7673,11:43 AM,1:16 PM,8796,campo deportivo,5/24/1936
SCURRY COUNTY HOSPITAL DISTRICT,3695 Eagle Crest Lane,Fonadhoo,,804-119-2359,3:54 PM,2:00 AM,1721,campo deportivo,4/11/1956
"DEACONESS HOSPITAL, INC",,Memória,2420-231,285-969-3374,6:04 AM,5:43 PM,9803,piscina,5/9/1934
"HARDEEVILLE HOSPITALISTS, LLC",37473 Prairieview Alley,Bintuni,,916-791-8612,2:09 AM,12:57 PM,9782,gimnasio,11/21/1997
PASTEUR & WELLMAX MEDICAL CENTERS LLC,,Quzi,,914-214-3364,1:22 AM,7:52 AM,1596,campo deportivo,10/10/1930
ST. VINCENT HOSPITAL,3584 Manley Circle,Fukuma,811-3522,147-358-3558,1:00 PM,2:19 PM,9188,campo deportivo,6/30/1905
DLP WILSON MEDICAL CENTER LLC,7 Butterfield Pass,Villa Cañás,2607,778-741-5099,1:26 AM,8:16 PM,6885,gimnasio,12/6/1982
"CHARLES A. CANNON, JR. MEMORIAL HOSPITAL, INC",916 Gerald Trail,Krasnyy Luch,,600-423-7336,9:37 AM,9:24 AM,5913,piscina,5/16/1973
UNITED HOSPITAL CENTER,650 Heath Hill,Klirou,,641-952-7598,1:34 PM,9:31 PM,5384,piscina,9/27/1951
KARNES COUNTY HOSPITAL DISTRICT,68201 Bashford Street,Bugcaon,4023,843-462-9278,10:46 AM,1:22 PM,365,piscina,1/6/1912
ST. LUKE'S HOSPITAL OF DULUTH,121 Spohn Road,Hartford,06152,860-156-0859,8:42 PM,10:21 AM,1641,campo deportivo,1/1/1972
HOUSTON HOSPITALS INC,3341 Warbler Center,Casal do Relvas,2440-341,361-911-2694,8:52 PM,2:10 PM,1194,gimnasio,9/15/1931
PARADISE GENERAL MEDICAL CENTER,9881 Farragut Point,Chahe,,215-974-2559,5:53 AM,12:11 PM,8963,gimnasio,6/10/1921
SOUTH BROWARD HOSPITAL DISTRICT,6963 Redwing Lane,Haarlem,2014,950-825-1254,10:41 AM,11:31 AM,1866,piscina,
JOHN STROGER HOSPITAL OF COOK COUNTY,758 Fuller Drive,Rancaerang,,901-427-3155,6:36 PM,1:13 PM,7142,gimnasio,7/10/1922
DECATUR COUNTY MEMORIAL HOSPITAL,0024 Fair Oaks Point,Tešanj,,834-152-7716,12:58 AM,4:31 PM,6654,piscina,2/16/1995
CONCORDIA PARISH HOSPITAL SERVICE DISTRICT NUMBER ONE,2256 Logan Crossing,Gabi,0930,358-291-5209,3:02 AM,6:18 AM,2409,gimnasio,7/23/1975
HOSPITAL AUTHORITY OF JEFFERSON COUNTY AND THE CITY OF LOUISVILLE,1656 Tennessee Street,Batgrām,21041,808-993-6944,11:04 PM,2:08 PM,8321,campo deportivo,3/9/2003
COMMUNITY UNITED METHODIST HOSPITAL INC,9 Ohio Place,Varkaus,78900,530-142-5759,12:06 PM,4:04 AM,3593,piscina,12/27/1918
"TOPEKA HOSPITAL, LLC",9136 Paget Plaza,Tagkawayan Sabang,4321,478-619-7321,6:05 AM,9:16 PM,889,piscina,4/27/1966
KC REHABILITATION HOSPITAL INC,56 Weeping Birch Terrace,Verkhnyachka,,160-675-8122,2:52 PM,5:15 PM,,gimnasio,7/20/2008
DENVER HEALTH AND HOSPITAL AUTHORITY,5 Jackson Lane,Sukadana,,752-337-0771,12:10 AM,5:07 AM,3812,gimnasio,6/23/2006
UNM HOSPITAL,71168 Mcguire Crossing,Atawutung,,746-517-9718,4:29 AM,8:38 AM,8314,piscina,4/15/2005
NAVAL MEDICAL CENTER SAN DIEGO,,Quarteira,8125-012,841-928-8043,11:46 AM,8:59 PM,1188,gimnasio,3/17/1976
ROYAL CARE MEDICAL CENTER INC,468 Oxford Court,Kamyanyuki,,607-114-0493,12:27 PM,7:55 PM,8588,campo deportivo,2/27/1901
DEACONESS HOSPITAL INC,037 Ridge Oak Plaza,Utrecht (stad),3502,509-449-2631,7:07 AM,8:25 PM,6753,gimnasio,5/23/1919
W A FOOTE MEMORIAL HOSPITAL INC,4967 North Park,Songhae,,920-896-3100,9:39 PM,4:13 AM,4473,piscina,5/11/1902
"ANKH MEDICAL CENTER, CORP",8388 Pearson Pass,Zhuxi Chengguanzhen,,163-818-7691,7:52 PM,9:02 PM,5024,campo deportivo,1/12/1969
SINAI HOSPITAL OF BALTIMORE INC,105 Saint Paul Court,Guangshan Chengguanzhen,,657-386-5011,6:44 PM,9:27 PM,6806,gimnasio,7/6/1919
HOSPITAL HEALTH CARE INC.,982 Bunting Way,Xiaoguan,,546-249-2851,12:17 AM,5:36 AM,2614,piscina,1/1/2005
MEMORIAL MEDICAL CENTER,3907 Darwin Way,Perpignan,66050 CEDEX,565-990-5822,8:44 AM,9:24 AM,944,gimnasio,9/15/1917
VA MEDICAL CENTER,3 Waubesa Avenue,Uromi,,317-815-8186,5:32 PM,8:30 AM,147,campo deportivo,1/21/1949
DENVER VA MEDICAL CENTER,49240 Hansons Terrace,Szklarska Poręba,58-580,979-514-4339,8:34 PM,8:43 AM,638,gimnasio,4/13/1914
HENDRICKS COMMUNITY HOSPITAL ASSN & RETIREMENT HOME,111 Bartelt Plaza,Dalai,,889-120-0330,10:39 PM,8:30 PM,6348,piscina,4/7/2000
UNIVERSITY OF CALIFORNIA IRVINE MEDICAL CENTER,52 8th Terrace,Peabiru,87250-000,284-249-2665,4:31 AM,2:09 PM,6976,piscina,11/16/1947
"CONWAY HOSPITAL LONG TERM CARE SERVICES, INC",1 Tony Circle,Leżajsk,37-300,712-889-2533,2:48 AM,11:24 PM,6932,campo deportivo,11/17/1996
MICHAEL E DEBAKEY VA MEDICAL CENTER,8 Knutson Point,Gadang,,703-232-6865,2:36 PM,7:31 AM,4227,campo deportivo,1/9/1989
"HOSPITAL AT HOME, L.L.C.",681 Division Park,San Isidro,8421,915-249-4266,4:26 PM,11:21 PM,5241,piscina,3/21/1903
ABINGTON MEMORIAL HOSPITAL,,Koua,,248-186-6000,7:45 PM,9:32 AM,7810,piscina,2/14/1936
COMMUNITY HOSPITAL OF THE MONTEREY PENINSULA,0075 Calypso Court,Neni,,150-509-6147,5:21 PM,10:02 AM,8255,piscina,7/7/1922
EAST HILL MEDICAL CENTER,5740 Waywood Junction,Tianhe,,282-187-5695,2:08 AM,7:56 AM,6186,gimnasio,10/29/1947
"WEST PATERSON FAMILY MEDICAL CENTER,PA",82 Lake View Parkway,Ralevka,,193-574-1814,3:10 PM,12:47 PM,730,gimnasio,
MINDEN MEDICAL CENTER,19 Iowa Crossing,Taquarituba,18740-000,639-938-4536,11:24 PM,5:29 PM,8937,gimnasio,3/31/1957
AHMC WHITTIER HOSPITAL MEDICAL,48 Spohn Avenue,Kentongan,,674-983-9279,11:03 PM,1:36 PM,9649,campo deportivo,8/18/1937
MADISON COMMUNITY HOSPITAL,093 Corscot Crossing,Krasnogvardeyets,102469,426-714-7062,4:22 AM,12:29 AM,7235,piscina,4/22/2015
THE PRESBYTERIAN HOSPITAL,3 Carpenter Center,Guaynabo,00971,973-572-9980,1:10 PM,9:37 PM,1400,campo deportivo,5/28/1950
SOUTH LIMESTONE HOSPITAL DISTRICT,5 Kenwood Place,Kesugihan,,438-178-6869,12:53 PM,1:28 AM,1325,gimnasio,12/6/1949
"MISSION HOSPITAL, INC",4 Lighthouse Bay Place,Tabira,56780-000,815-490-4142,7:59 AM,7:07 AM,2287,campo deportivo,11/12/1976
GREAT LIFE MEDICAL CENTER LLC,0963 Crest Line Lane,Limoges,87077 CEDEX 9,630-401-0467,1:04 AM,2:04 PM,7560,campo deportivo,5/25/1949
GURNEE STONE MEDICAL CENTER PC,9 Longview Place,Maiac,MD-4006,542-598-6066,1:07 AM,10:37 AM,1321,campo deportivo,9/21/1943
SAINT FRANCIS MEDICAL CENTER,00589 Gulseth Road,Dos Quebradas,661008,884-105-4048,1:29 AM,5:16 PM,9885,campo deportivo,12/16/1955
WILLIAM BEAUMONT HOSPITAL,3 Porter Avenue,Lattes,34975 CEDEX,266-194-7310,2:28 PM,11:47 AM,5665,campo deportivo,8/16/1917
DEPARTMENT OF HEALTH AND HOSPITALS,1 Dovetail Avenue,Waco,76796,435-623-1709,11:54 PM,2:34 AM,7327,piscina,7/30/1930
ASPIRUS WAUSAU HOSPITAL INC,1 Morrow Plaza,Bangan-Oda,2408,122-365-3403,10:26 PM,10:49 AM,760,piscina,9/3/1995
TETON COUNTY HOSPITAL DISTRICT,04922 Truax Trail,Sochaux,25609 CEDEX,236-386-7685,1:07 PM,6:30 PM,8981,gimnasio,1/8/1935
TRUMAN MEDICAL CENTER INCORPORATED,88 Transport Place,Pingshan,,934-878-9698,10:41 AM,2:11 PM,8642,gimnasio,11/9/2014
WILLIAM NEWTON MEMORIAL HOSPITAL,448 Coleman Alley,Subaykhān,,568-751-4598,6:38 PM,1:35 AM,4629,gimnasio,3/26/1983
STATEN ISLAND UNIVERSITY HOSPITAL,70 Mariners Cove Drive,Xiadian,,504-675-6924,8:59 PM,4:15 AM,6543,gimnasio,1/7/1935
GAINESVILLE HOSPITAL DISTRICT,17971 Sloan Park,Oefau,,769-871-9868,11:32 PM,1:08 PM,3443,campo deportivo,12/28/1997
GRANITE HILLS CONVALESCENT HOSPITAL,4 Esker Place,Tartaro,2307,559-757-8637,2:52 PM,1:45 PM,1524,campo deportivo,8/28/1908
OUR LADY OF LOURDES HOSPITAL AT PASCO,77 Hoepker Center,Oebatu,,111-438-6428,6:27 AM,4:35 PM,9848,gimnasio,2/17/1957
"AVALON MEDICAL CENTER, LLC",3627 Meadow Ridge Alley,Gyumri,,429-496-5596,5:40 PM,9:12 PM,7867,gimnasio,12/23/1900
EAST ALABAMA MEDICAL CENTER ONCOLOGY SERVICES,8 Upham Point,Daxing,,766-839-0997,6:56 PM,4:12 AM,8197,gimnasio,6/3/2001
"SAGINAW COOPERATIVE HOSPITALS, INC",279 Farmco Crossing,Dengmu,,792-753-0641,2:00 PM,10:27 AM,8267,piscina,8/16/1989
SEIJAS MEDICAL CENTER INC,99809 Darwin Street,Palagao Norte,0918,190-574-6598,1:19 PM,7:46 AM,4861,piscina,3/10/1902
MT GRANT GENERAL HOSPITAL,3239 Longview Avenue,Dehī,,616-666-4971,9:28 PM,6:23 PM,5511,gimnasio,10/6/1977
"COFFEYVILLE REGIONAL MEDICAL CENTER, INC.",0 Marcy Court,Shinpokh,50001,702-170-0205,5:33 AM,6:59 AM,7295,gimnasio,5/12/1916
"ERDMAN MEDICAL CENTER, INC.",2058 Carberry Center,Cruzeiro do Oeste,87400-000,199-763-9431,5:40 AM,8:01 PM,,piscina,10/28/1994
THE CHARLOTTE-MECKLENBURG HOSPITAL AUTHORITY,68910 Lawn Hill,Sinanju,,312-849-5458,2:55 PM,4:32 PM,5459,piscina,10/15/1947
"CRISP REGIONAL HOSPITAL, INC",2880 Dwight Junction,Schiltigheim,67311 CEDEX,384-356-2080,1:24 AM,3:10 AM,9159,piscina,2/21/1934
WHITE COUNTY MEDICAL CENTER,7 Katie Avenue,Mường Nhé,,964-753-8481,1:08 PM,12:12 PM,9389,piscina,2/25/1954
UCHEALTH HIGHLANDS RANCH HOSPITAL,8 Northwestern Place,Kawerau,3192,507-808-5801,12:47 AM,6:54 PM,8962,campo deportivo,9/13/1937
REX HOSPITAL INC,58 Lyons Hill,Zhixia,,904-404-9427,10:47 PM,9:25 PM,3779,gimnasio,4/21/1965
HAND COUNTY MEMORIAL HOSPITAL,8 Old Gate Road,Yucheng,,612-977-5730,10:36 PM,8:05 AM,4888,campo deportivo,3/23/2002
GEISINGER LEWISTOWN HOSPITAL,37448 Boyd Lane,Lunas,6324,133-416-5471,12:19 AM,2:52 PM,8559,piscina,9/5/1915
VETERAN'S AFFAIRS MEDICAL CENTER,9249 Holy Cross Crossing,Tugu,,785-922-6867,10:54 AM,1:25 AM,970,gimnasio,3/30/2002
WENTWORTH DOUGLASS HOSPITAL,779 International Circle,Varge Mondar,2635-483,230-209-8652,4:54 AM,12:52 PM,7200,gimnasio,7/11/1950
"AMERICAN TRANSITIONAL HOSPITAL, INC.",33148 Utah Point,Omboué,,527-944-5729,10:43 AM,3:13 PM,1118,piscina,12/11/1931
"JEWISH RENAISSANCE MEDICAL CENTER, INC.",154 Lakeland Junction,Cajabamba,,962-781-0479,11:50 PM,9:07 PM,3904,campo deportivo,11/26/1950
JACKSON COUNTY PUBLIC HOSPITAL,8 Lakewood Road,Oetua,,624-973-4146,3:00 PM,9:33 PM,3068,gimnasio,3/15/1902
GARDEN COUNTY HOSPITAL & NURSING HOME,7 Hintze Lane,Paccho,,101-668-4879,1:28 AM,11:25 PM,6554,piscina,9/6/1902
MCGEHEE DESHA COUNTY HOSPITAL,1 Toban Terrace,Anping,,957-688-0770,12:06 PM,9:48 PM,6826,piscina,4/25/1991
UC IRVINE MEDICAL CENTER,737 Kedzie Place,Brandfort,9400,399-597-4674,11:30 AM,12:47 AM,5158,campo deportivo,11/22/1905
CEDRS-SINAI MEDICAL CENTER,862 Bultman Avenue,Anping,,617-457-0966,3:20 PM,3:44 PM,7839,gimnasio,12/10/1917
BOOKER HOSPITAL DISTRICT,,Penhascoso,6120-625,831-378-1184,7:25 AM,8:31 AM,150,piscina,11/26/1979
THE MEDICAL CENTER AT FRANKLIN ER PHYSICIANS,635 Mandrake Crossing,Kuala Lumpur,50653,261-394-2840,9:26 PM,1:09 PM,5322,piscina,11/10/2019
CHILDREN'S HOSPITAL MEDICAL CENTER OF AKRON,28647 Mccormick Terrace,Dallas,75236,972-143-5260,11:52 PM,7:27 AM,7502,campo deportivo,12/2/1981
LOMPOC VALLEY MEDICAL CENTER,3 Fairview Hill,Shuanghe,,374-350-5636,9:06 PM,4:54 AM,6998,piscina,11/4/1935
REED CITY HOSPITAL CORPORATION,63 Hoard Point,Toungo,,667-691-0122,3:20 AM,10:50 PM,1498,gimnasio,1/28/1945
"CAREMAX MEDICAL CENTERS OF CENTRAL FLORIDA, LLC",786 Manitowish Street,Stockholm,111 20,121-783-9484,10:08 PM,3:43 PM,4681,piscina,12/6/2016
